title,description,years,price,image,vin,slug,views
"Lexus RX 450h","Beveik kaip nauja, TA iki 06.05",2011,15000,https://autoplius-img.dgn.lt/ann_3_210379950/lexus-rx-450h-3-5-l-visureigis-2011-benzinas-elektra-0.jpg,0,"Lexus- RX-450h",53
Opel,Nerudyja,2007,3400,https://autoplius-img.dgn.lt/ann_3_211840320/opel-insignia-2-0-l-universalas-2010-dyzelinas-0.jpg,0,Opel,27
"VW GOLF","myleta, priziureta, karta dauzta",2011,1500,https://autoplius-img.dgn.lt/ann_3_211844724/volkswagen-golf-1-9-l-universalas-2008-dyzelinas-0.jpg,0,vw-golf,8
"VW kazkoks","Dar metai ir bus antikvarine masina",1999,2050,https://autoplius-img.dgn.lt/ann_25_213812996/volkswagen-golf-1-6-l-hecbekas-2013-dyzelinas-0.jpg,0,vw,93
VOLVO,"Masina nenudrozta, vairavo mociute tik vasara.",2006,2000,https://autoplius-img.dgn.lt/ann_3_211878384/volvo-xc60-2-4-l-visureigis-2013-dyzelinas-0.jpg,0,volvo,48
Savivartis,"Parduodu savivarti, naudotas 4 kartus.",2004,1500,https://skelbiu-img.dgn.lt/1_18_3275642081/savivarcio-ir-tralo-nuoma.jpg,0,savivartis,74
"BMW ","Trys varomi ratai, perdazyta",2006,4000,https://autoplius-img.dgn.lt/ann_25_217762968/bmw-528-3-0-l-sedanas-2008-benzinas-0.jpg,0,bmw-x5,76
Nissan,"Skendes nissan, restauruotas",2013,2000,https://autoplius-img.dgn.lt/ann_25_197479429/nissan-x-trail-1-6-l-visureigis-2017-dyzelinas-0.jpg,0,nissan,56
"Toyota Yaris","Kuriasi ir važiuoja, truputi dauztas galas, radiatoriai ok
Visi airbag ok
35 852 km tikra rida",2010,2000,https://autoplius-img.dgn.lt/ann_25_211860416/toyota-yaris-1-0-l-hecbekas-2019-benzinas-0.jpg,0,toyota-yaris,53
Mercedes,Baltas,2008,7000,https://autoplius-img.dgn.lt/ann_25_210554140/mercedes-benz-e400-3-0-l-kabrioletas-2018-benzinas-0.jpg,0,mercedes,76
Ford,Aprasymas233333,2001,1500,https://autoplius-img.dgn.lt/ann_25_215024658/ford-galaxy-1-9-l-vienaturis-1999-dyzelinas-0.jpg,1231231234354356,masina123,54
